DEPTH,AZIMUTH,AZI_END,AZI_START,TILT,HEIGHT,AWIDTH,CATEGORY,NOTES
m,deg,deg,deg,deg,m,deg,,
808.0161202,135.969,137.04073289484424,134.89726710515575,-1.24349,0.195527,-999.25,DITF_Axial,-999.25
808.5129737,150.165,-999.25,-999.25,-999.25,0.305344,25.1775,Breakout,-999.25
808.5732389,120.166,134.35811825737315,105.97388174262684,-23.182,0.131244,-999.25,DITF_En_Echelon,-999.25
